education,income_type,family_status,monthly_income,years_employed
высшее,безработный,гражданский брак,202722.51136840886,1083.0
высшее,госслужащий,Не женат / не замужем,155138.44700723467,3.0
высшее,госслужащий,в разводе,150475.72029029814,6.0
высшее,госслужащий,вдовец / вдова,171227.5469093994,10.5
высшее,госслужащий,гражданский брак,162007.72570759273,6.0
высшее,госслужащий,женат / замужем,156453.78277723462,6.0
высшее,компаньон,Не женат / не замужем,178964.1679587002,3.0
высшее,компаньон,в разводе,193023.1196022323,3.0
высшее,компаньон,вдовец / вдова,169938.07115151812,5.0
высшее,компаньон,гражданский брак,180202.83835358903,3.0
высшее,компаньон,женат / замужем,195737.8873829112,3.0
высшее,пенсионер,Не женат / не замужем,145017.93753253992,998.0
высшее,пенсионер,в разводе,145803.17397032515,1000.0
высшее,пенсионер,вдовец / вдова,128092.64469672293,988.0
высшее,пенсионер,гражданский брак,145017.93753253992,1001.0
высшее,пенсионер,женат / замужем,145017.93753253992,989.0
высшее,предприниматель,гражданский брак,499163.1449470857,1.0
высшее,предприниматель,женат / замужем,145017.93753253992,3.0
высшее,сотрудник,Не женат / не замужем,146928.82877255126,3.0
высшее,сотрудник,в разводе,156669.86702207016,3.0
высшее,сотрудник,вдовец / вдова,145017.93753253992,3.0
высшее,сотрудник,гражданский брак,150899.883313558,3.0
высшее,сотрудник,женат / замужем,158483.22874123012,3.0
высшее,студент,Не женат / не замужем,98201.62531401133,1.0
начальное,госслужащий,Не женат / не замужем,190912.17834875587,0.0
начальное,госслужащий,гражданский брак,109244.72944543025,5.5
начальное,госслужащий,женат / замужем,145017.93753253992,6.0
начальное,компаньон,Не женат / не замужем,136798.9051432623,1.0
начальное,компаньон,в разводе,173719.87063449653,1.0
начальное,компаньон,гражданский брак,169493.89922765314,3.0
начальное,компаньон,женат / замужем,133572.77690710494,3.0
начальное,пенсионер,Не женат / не замужем,83957.53598883352,1013.0
начальное,пенсионер,в разводе,106412.8625329492,1022.0
начальное,пенсионер,вдовец / вдова,112151.19514777992,981.0
начальное,пенсионер,гражданский брак,72062.85951604482,984.5
начальное,пенсионер,женат / замужем,115301.1831494311,970.5
начальное,сотрудник,Не женат / не замужем,127367.18596203404,2.0
начальное,сотрудник,в разводе,122164.63060883436,3.0
начальное,сотрудник,вдовец / вдова,149500.8652701677,13.0
начальное,сотрудник,гражданский брак,124500.431619869,3.0
начальное,сотрудник,женат / замужем,138952.55540069123,3.0
неоконченное высшее,госслужащий,Не женат / не замужем,145017.93753253992,3.0
неоконченное высшее,госслужащий,гражданский брак,159647.97672179114,3.0
неоконченное высшее,госслужащий,женат / замужем,159617.21090281318,5.0
неоконченное высшее,компаньон,Не женат / не замужем,159994.53205340725,2.0
неоконченное высшее,компаньон,в разводе,193535.2782766861,2.0
неоконченное высшее,компаньон,вдовец / вдова,249638.67593699304,4.0
неоконченное высшее,компаньон,гражданский брак,159042.79709390068,2.0
неоконченное высшее,компаньон,женат / замужем,172684.71628772825,3.0
неоконченное высшее,пенсионер,Не женат / не замужем,145017.93753253992,926.0
неоконченное высшее,пенсионер,в разводе,145017.93753253992,3.0
неоконченное высшее,пенсионер,вдовец / вдова,108896.36614267435,1009.0
неоконченное высшее,пенсионер,гражданский брак,93232.02739195913,1017.5
неоконченное высшее,пенсионер,женат / замужем,145017.93753253992,984.0
неоконченное высшее,сотрудник,Не женат / не замужем,145017.93753253992,2.0
неоконченное высшее,сотрудник,в разводе,166015.79050422882,3.0
неоконченное высшее,сотрудник,вдовец / вдова,162906.33647756375,3.5
неоконченное высшее,сотрудник,гражданский брак,154974.91608713323,3.0
неоконченное высшее,сотрудник,женат / замужем,145017.93753253992,3.0
среднее,безработный,женат / замужем,59956.9919840117,924.0
среднее,в декрете,женат / замужем,53829.13072905995,9.0
среднее,госслужащий,Не женат / не замужем,145017.93753253992,5.5
среднее,госслужащий,в разводе,145017.93753253992,7.5
среднее,госслужащий,вдовец / вдова,120441.3434462718,6.0
среднее,госслужащий,гражданский брак,139950.3424950377,6.0
среднее,госслужащий,женат / замужем,145017.93753253992,7.0
среднее,компаньон,Не женат / не замужем,148072.88724356238,3.0
среднее,компаньон,в разводе,154083.36044293802,4.0
среднее,компаньон,вдовец / вдова,145017.93753253992,7.0
среднее,компаньон,гражданский брак,147352.24609268422,3.0
среднее,компаньон,женат / замужем,150489.85833446006,4.0
среднее,пенсионер,Не женат / не замужем,123987.81208019005,992.0
среднее,пенсионер,в разводе,121817.86805028023,985.0
среднее,пенсионер,вдовец / вдова,128270.41995280547,989.0
среднее,пенсионер,гражданский брак,124504.8700094675,985.0
среднее,пенсионер,женат / замужем,123502.83951906682,987.0
среднее,сотрудник,Не женат / не замужем,139589.35002049024,3.0
среднее,сотрудник,в разводе,143476.97378377317,4.0
среднее,сотрудник,вдовец / вдова,145017.93753253992,4.0
среднее,сотрудник,гражданский брак,145017.93753253992,3.0
среднее,сотрудник,женат / замужем,145017.93753253992,4.0
ученая степень,госслужащий,женат / замужем,111392.23110678492,16.0
ученая степень,пенсионер,женат / замужем,177088.84599915706,977.0
ученая степень,сотрудник,Не женат / не замужем,198570.7573220713,1.0
ученая степень,сотрудник,в разводе,115949.03978828213,6.0
ученая степень,сотрудник,женат / замужем,268411.2145355859,14.0
